OBSNO,DATE,HOUR,TERRID,n,TEMP,WIND,SEXP,PANT,INC,OFF,DATETIME,DLGT,DAYn
196,15.06.16,12,AS53,15,11.49933333,1.368666667,23,0,10,5,15.06.16 12:07,8.591388889,167
197,15.06.16,12,AS53,15,10.82853333,1.419333333,12,0,14,1,15.06.16 12:22,8.841388889,167
198,15.06.16,13,AS53,15,10.46346667,2.281333333,6,0,15,0,15.06.16 12:37,9.091388889,167
199,12.06.16,14,AS54,15,11.22706667,2.077333333,0,0,15,0,12.06.16 14:19,10.75805556,164
200,12.06.16,15,AS54,15,10.7264,1.950666667,0,0,15,0,12.06.16 14:34,11.00805556,164
201,12.06.16,15,AS54,15,10.3512,1.9,0,0,15,0,12.06.16 14:49,11.25805556,164
202,24.06.16,14,AS56,15,12.49313333,0.025333333,0,0,15,0,24.06.16 14:14,10.69972222,176
203,24.06.16,14,AS56,15,12.60406667,0.430666667,0,0,15,0,24.06.16 14:29,10.94972222,176
204,24.06.16,15,AS56,15,11.9446,1.266666667,0,0,12,3,24.06.16 14:44,11.19972222,176
205,08.06.16,14,AS59,15,8.271333333,2.381333333,0,0,15,0,08.06.16 13:48,10.17138889,160
206,08.06.16,14,AS59,15,8.078333333,2.585333333,0,0,15,0,08.06.16 14:03,10.42138889,160
207,08.06.16,14,AS59,15,8.176666667,2.584666667,0,0,15,0,08.06.16 14:18,10.67138889,160
208,08.06.16,14,AS60,15,8.271333333,2.381333333,0,0,15,0,08.06.16 13:48,10.17138889,160
209,08.06.16,14,AS60,15,8.078333333,2.585333333,0,0,15,0,08.06.16 14:03,10.42138889,160
210,08.06.16,14,AS60,15,8.176666667,2.584666667,0,0,15,0,08.06.16 14:18,10.67138889,160
211,27.06.16,12,AS61,15,12.04966667,2.153333333,10,0,15,0,27.06.16 11:56,8.360833333,179
212,27.06.16,12,AS61,15,11.89773333,2.533333333,19,0,14,1,27.06.16 12:11,8.610833333,179
213,27.06.16,12,AS61,15,12.02206667,2.330666667,19,0,15,0,27.06.16 12:26,8.860833333,179
214,08.06.16,12,AS64,15,8.173066667,2.661333333,0,0,15,0,08.06.16 11:58,8.338055556,160
215,08.06.16,13,AS64,15,8.425666667,2.970666667,0,0,14,1,08.06.16 12:34,8.938055556,160
216,15.06.16,13,AS65,15,10.28986667,2.409333333,6,0,15,0,15.06.16 13:13,9.691388889,167
217,15.06.16,13,AS65,15,10.56086667,2.029333333,0,0,15,0,15.06.16 13:28,9.941388889,167
218,15.06.16,14,AS65,15,10.59006667,1.722666667,0,0,10,5,15.06.16 13:43,10.19138889,167
219,07.06.16,14,AS67,15,10.05046667,2.714,30,0,15,0,07.06.16 13:37,9.966111111,159
220,07.06.16,14,AS67,15,10.4818,2.306666667,27,13,15,0,07.06.16 13:52,10.21611111,159
221,07.06.16,14,AS67,15,10.72466667,1.697333333,12,15,15,0,07.06.16 14:07,10.46611111,159
223,07.06.16,15,AS67,15,10.7606,1.798666667,15,11,15,0,07.06.16 14:36,10.94944444,159
224,15.06.16,12,AS67,15,10.99006667,1.672,30,0,15,0,15.06.16 11:52,8.341388889,167
225,15.06.16,12,AS67,15,11.49933333,1.368666667,23,0,15,0,15.06.16 12:07,8.591388889,167
226,15.06.16,12,AS67,15,10.82853333,1.419333333,12,0,12,3,15.06.16 12:22,8.841388889,167
227,15.06.16,13,AS67,15,10.46346667,2.281333333,6,0,15,0,15.06.16 12:37,9.091388889,167
228,08.06.16,12,AS68,15,8.173066667,2.661333333,0,0,15,0,08.06.16 11:58,8.338055556,160
229,08.06.16,13,AS68,15,8.425666667,2.996666667,0,0,15,0,08.06.16 12:33,8.921388889,160
230,12.06.16,14,AS68,15,11.22706667,2.077333333,0,0,15,0,12.06.16 14:19,10.75805556,164
231,12.06.16,15,AS68,15,10.7264,1.950666667,0,0,15,0,12.06.16 14:34,11.00805556,164
232,12.06.16,15,AS68,15,10.3512,1.9,0,0,15,0,12.06.16 14:49,11.25805556,164
233,24.06.16,14,AS68,15,12.49313333,0.025333333,0,0,15,0,24.06.16 14:14,10.69972222,176
234,24.06.16,14,AS68,15,12.60406667,0.430666667,0,0,15,0,24.06.16 14:29,10.94972222,176
235,24.06.16,15,AS68,15,11.9446,1.266666667,0,0,15,0,24.06.16 14:44,11.19972222,176
236,01.07.16,13,AS68,15,11.27913333,0.861333333,0,0,15,0,01.07.16 13:20,9.682777778,183
237,01.07.16,14,AS68,15,11.47386667,0.836,0,0,15,0,01.07.16 13:35,9.932777778,183
238,01.07.16,14,AS68,15,11.75053333,0.988,0,0,15,0,01.07.16 13:50,10.18277778,183
239,01.07.16,14,AS68,15,12.3192,1.266666667,0,0,13,2,01.07.16 14:05,10.43277778,183
240,08.06.16,12,AS70,15,8.173066667,2.661333333,0,0,15,0,08.06.16 11:58,8.338055556,160
241,08.06.16,13,AS70,15,8.425666667,2.970666667,0,0,14,1,08.06.16 12:34,8.938055556,160
242,12.06.16,14,AS70,15,11.22706667,2.077333333,0,0,15,0,12.06.16 14:19,10.75805556,164
243,12.06.16,15,AS70,15,10.7264,1.950666667,0,0,15,0,12.06.16 14:34,11.00805556,164
244,12.06.16,15,AS70,15,10.3512,1.9,0,0,15,0,12.06.16 14:49,11.25805556,164
245,15.06.16,12,AS72,15,10.99006667,1.672,30,0,15,0,15.06.16 11:52,8.341388889,167
246,15.06.16,12,AS72,15,11.49933333,1.368666667,23,0,15,0,15.06.16 12:07,8.591388889,167
247,15.06.16,12,AS72,15,10.82853333,1.419333333,12,0,14,1,15.06.16 12:22,8.841388889,167
248,15.06.16,13,AS72,15,10.46346667,2.281333333,6,0,15,0,15.06.16 12:37,9.091388889,167
249,24.06.16,12,AS72,15,13.19413333,2.052,15,3,15,0,24.06.16 12:10,8.633055556,176
250,24.06.16,12,AS72,15,13.25153333,1.672,15,11,15,0,24.06.16 12:25,8.883055556,176
251,24.06.16,13,AS72,15,12.62673333,1.672,12,0,15,0,24.06.16 12:40,9.133055556,176
252,24.06.16,13,AS72,15,13.02866667,2.052,21,11,15,0,24.06.16 12:55,9.383055556,176
253,24.06.16,13,AS72,15,14.61013333,0.608,30,15,15,0,24.06.16 13:23,9.849722222,176
254,24.06.16,14,AS72,15,14.61346667,1.064,18,15,15,0,24.06.16 13:38,10.09972222,176
255,27.06.16,14,AS72,15,12.38193333,0.278666667,12,15,15,0,27.06.16 14:11,10.61083333,179
256,27.06.16,14,AS72,15,12.00266667,0.025333333,0,15,15,0,27.06.16 14:26,10.86083333,179
257,27.06.16,15,AS72,15,11.5092,0.278666667,0,4,6,9,27.06.16 14:41,11.11083333,179
258,01.07.16,13,AS72,15,11.27913333,0.861333333,0,0,15,0,01.07.16 13:20,9.682777778,183
259,01.07.16,14,AS72,15,11.47386667,0.836,0,0,15,0,01.07.16 13:35,9.932777778,183
260,01.07.16,14,AS72,15,11.75053333,0.988,0,0,15,0,01.07.16 13:50,10.18277778,183
261,01.07.16,14,AS72,15,12.3192,1.266666667,0,0,15,0,01.07.16 14:05,10.43277778,183
262,08.06.16,14,AS75,15,8.271333333,2.381333333,0,0,15,0,08.06.16 13:48,10.17138889,160
263,08.06.16,14,AS75,15,8.078333333,2.585333333,0,0,15,0,08.06.16 14:03,10.42138889,160
264,08.06.16,14,AS75,15,8.176666667,2.584666667,0,0,15,0,08.06.16 14:18,10.67138889,160
265,08.06.16,12,AS76,15,8.173066667,2.661333333,0,0,15,0,08.06.16 11:58,8.338055556,160
266,12.06.16,14,AS76,15,11.22706667,2.077333333,0,0,15,0,12.06.16 14:19,10.75805556,164
